bvets motor noise table 0.01
0,0,0,0,0,0,0,0,0,0,0,0
3.5,1,0.318182,0.155556,0,0.233333,0,0,0,0,0,0
7.5,0.882353,0.681818,0.333333,0,0.5,0,0,0,0,0,0
11,0.779412,1,0.488889,0.155556,0.733333,0.189189,0,0,0,0,0
15,0.661765,0,0.666667,0.333333,1,0.405405,0,0,0,0,0
22.5,0.441176,0,1,0.666667,0,0.810811,0,0,0,0,0
26,0.338235,0,0.766667,0.822222,0,1,0.116667,0,0,0,0
30,0.220588,0,0.5,1,0,0.752005,0.25,0,0,0,0
37.5,0,0,0,0.5,0,0.287013,0.5,0.5,0,0,0
52.4,0,0,0,0,0,0.001913,0.003333,1,0,0,0
52.5,0,0,0,0,0,0,0,1,1,0,0
60,0,0,0,0,0,0,0,0.333333,0.869565,0,0
75,0,0,0,0,0,0,0,0,0.608696,1,0
110,0,0,0,0,0,0,0,0,0,0.588235,0.777778
120,0,0,0,0,0,0,0,0,0,0.470588,1
160,0,0,0,0,0,0,0,0,0,0,0.5
