bvets motor noise table 0.01
0,1,1,1,1,1,0.654545,0.863636,0.872727,1,0.881818,1
7.452896,1,1,1,1,1.66248,0.654545,0.863636,0.872727,1,0.881818,1
7.5,1,1,1,1,1.666667,0.656387,0.863636,0.872727,1,0.881818,1
15,1,1,1,1,2.333333,0.949596,0.863636,0.872727,1,0.881818,1
22.5,1,1,1,1,3,1.242804,0.863636,0.872727,1,0.881818,1
29.979065,1,1,1,1,3,1.535194,0.863636,0.872727,1,0.881818,1
30.047104,1,1,1,1,3,1.537854,0.865676,0.872727,1,0.881818,1
37.5,1,1,1,1,3,1.829221,1.089082,0.946581,1,0.881818,1
52.332519,1,1,1,1,3,2.409091,1.533697,1.093562,1,0.881818,1
52.421493,1,1,1,1,3,2.409091,1.536364,1.094443,1,0.881818,1
52.5,1,1,1,1,3,2.409091,1.536364,1.095221,1,0.881818,1
60.04187,1,1,1,1,3,2.409091,1.536364,1.169956,1.070351,0.881818,1
75,1,1,1,1,3,2.409091,1.536364,1.318182,1.209881,1.042345,1
110,1,1,1,1,3,2.409091,1.536364,1.318182,1.536364,1.417957,1.205882
160,1,1,1,1,3,2.409091,1.536364,1.318182,1.536364,1.954545,1.5
