bvets motor noise table 0.01
0,1,1,1,1,1,0.654545,0.863636,0.872727,1,0.872727,1
7.452896,1,1,1,1,1.66248,0.654545,0.863636,0.872727,1,0.872727,1
7.5,1,1,1,1,1.666667,0.656357,0.863636,0.872727,1,0.872727,1
15,1,1,1,1,2.333333,0.944772,0.863636,0.872727,1,0.872727,1
22.5,1,1,1,1,3,1.233188,0.863636,0.872727,1,0.872727,1
30.047104,1,1,1,1,3,1.523415,0.863636,0.872727,1,0.872727,1
30.130844,1,1,1,1,3,1.526635,0.86618,0.872727,1,0.872727,1
37.5,1,1,1,1,3,1.810019,1.08998,0.945887,1,0.872727,1
52.369156,1,1,1,1,3,2.381818,1.541555,1.093506,1,0.872727,1
52.497558,1,1,1,1,3,2.381818,1.545455,1.094781,1,0.872727,1
52.5,1,1,1,1,3,2.381818,1.545455,1.094805,1,0.872727,1
60.04187,1,1,1,1,3,2.381818,1.545455,1.16968,1.069025,0.872727,1
75,1,1,1,1,3,2.381818,1.545455,1.318182,1.205924,1.037336,1
110.111654,1,1,1,1,3,2.381818,1.545455,1.318182,1.527273,1.423726,1.21405
160,1,1,1,1,3,2.381818,1.545455,1.318182,1.527273,1.972727,1.518182
