bvets motor noise table 0.01
0,0.337662,0,0,0,0,0,0,0
8.388346,0.74026,0.420983,0,0,0,0,0,0
8.5,0.735386,0.426587,0,0,0,0,0,0
16.820307,0.372163,0.844156,0.48943,0.756392,0,0,0,0
17.014306,0.363694,0.834893,0.500842,0.774028,0,0,0,0
19.5,0.255182,0.716208,0.647059,1,0.114578,0,0,0
25.345429,0,0.437105,0.990908,0.740203,0.384023,0,0,0
25.5,0,0.429725,1,0.733333,0.391148,0,0,0
34.5,0,0,0.64,0.333333,0.806002,0,0,0
38.708653,0,0,0.471654,0.146282,1,0,0,0
41.981856,0,0,0.340726,0.000806,0.83869,0,0,0
42,0,0,0.34,0,0.837796,0.001066,0,0
50.5,0,0,0,0,0.418898,0.500533,0,0
59,0,0,0,0,0,1,0,0
67.215632,0,0,0,0,0,0.516728,0.497917,0
75.5,0,0,0,0,0,0.029412,1,0.398586
76,0,0,0,0,0,0,0.985294,0.422643
88,0,0,0,0,0,0,0.632353,1
109.5,0,0,0,0,0,0,0,0.850694
160,0,0,0,0,0,0,0,0.5
