bvets motor noise table 0.01
0,1,1,1,0.554545,0.5,0.872727,1,0.709091
8.388346,1,1,1,0.554545,0.5,0.872727,1,0.709091
8.5,1,1,1,0.558265,0.5,0.872727,1,0.709091
17,1,1,1,0.841458,0.5,0.872727,1,0.709091
25.5,1,1,1,1.124651,0.702381,0.872727,1,0.709091
34,1,1,1,1.407844,0.904762,0.872727,1,0.709091
42.223308,1,1,1,1.681818,1.100555,0.872727,1,0.709091
42.315422,1,1,1,1.681818,1.102748,0.872727,1,0.709091
50.5,1,1,1,1.681818,1.297619,1.068977,1,0.709091
59,1,1,1,1.681818,1.5,1.27279,1,0.709091
67.334962,1,1,1,1.681818,1.5,1.472646,1.199943,0.709091
75.679344,1,1,1,1.681818,1.5,1.672727,1.400112,0.825336
109.403001,1,1,1,1.681818,1.5,1.672727,2.209091,1.295137
160,1,1,1,1.681818,1.5,1.672727,2.209091,2
