bvets motor noise table 0.01
0,1,1,1,0.545455,0.536364,0.836364,1,0.736364
7.5,1,1,1,0.545455,0.536364,0.836364,1,0.736364
8.37404,1,1,1,0.545455,0.536364,0.836364,1,0.736364
16.971389,1,1,1,0.831923,0.536364,0.836364,1,0.736364
25,1,1,1,1.099441,0.715434,0.836364,1,0.736364
34,1,1,1,1.399326,0.91617,0.836364,1,0.736364
42,1,1,1,1.665891,1.094602,0.836364,1,0.736364
42.205164,1,1,1,1.672727,1.099178,0.841328,1,0.736364
51,1,1,1,1.672727,1.295338,1.054139,1,0.736364
58.953245,1,1,1,1.672727,1.472727,1.246586,1,0.736364
59,1,1,1,1.672727,1.472727,1.247717,1,0.736364
67.215632,1,1,1,1.672727,1.472727,1.446513,1.198054,0.736364
75.81298,1,1,1,1.672727,1.472727,1.654545,1.405309,0.855136
109.532449,1,1,1,1.672727,1.472727,1.654545,2.218182,1.320971
160,1,1,1,1.672727,1.472727,1.654545,2.218182,2.018182
